name,fb_event_id,start_time,end_time
GTIC#1（本会#1）,259251620793888,2011.11.21_19:00,2011.11.21_22:00
GTIC#2（本会#2）,283532168352958,2011.12.20_19:00,2011.12.20_22:00
GTIC#3（本会#3）,347754301905870,2012.01.31_19:00,2012.01.31_22:00
GTIC#4（本会#4）,291850217535228,2012.02.21_19:00,2012.02.21_22:00
GTIC#5（本会#5）,193204847450186,2012.03.22_19:00,2012.03.22_22:00
GTIC#6（本会#6）,199702290133219,2012.04.16_19:00,2012.04.16_22:00
GTIC#7（本会#7),294333150641767,2012.05.21_19:00,2012.05.21_22:00
GTIC#8（本会#8）,199702290133219,2012.06.21_19:00,2012.06.21_22:00
GTIC#9（本会#9）,330657870348899,2012.07.24_19:00,2012.07.24_22:00
GTIC#10（本会#10）,264219150345075,2012.08.27_19:00,2012.08.27_22:00
GTIC#11（本会#11）,456815111019707,2012.09.26_19:00,2012.09.26_22:00
GTIC#12（WS#1),398970546834883,2012.10.15_19:00,2012.10.15_22:00
GTIC#13（本会#12）,491329794220533,2012.10.23_19:00,2012.10.23_22:00
GTIC#14（WS#2）,464943516882690,2012.11.13_19:00,2012.11.13_22:00
GTIC#15（本会#13）,491329794220533,2012.11.21_19:00,2012.11.21_22:00
GTIC#16（本会#14）,251747234954146,2012.12.17_19:00,2012.12.17_22:00
GTIC#17（WS#3),555690387781685,2013.01.10_19:00,2013.01.10_22:00
GTIC#18（本会#15）,460680517302945,2013.01.25_19:00,2013.01.25_22:00
GTIC#19（WS#4）,545710962123816,2013.02.04_19:00,2013.02.04_22:00
GTIC#20（#16）,473250072734139,2013.02.18_19:00,2013.02.18_22:00
GTIC#21（WS#5）,157291991090497,2013.03.04_19:00,2013.03.04_22:00
GTIC#22（本会#17）,100371076817277,2013.03.28_19:00,2013.03.28_22:00
GTIC#23（WS#6）,227051857433107,2013.04.08_19:00,2013.04.08_22:00
GTIC#24（本会#18）,121622981361947,2013.04.22_19:00,2013.04.22_22:00
GTIC#25（WS#7）,357450287689132,2013.05.13_19:00,2013.05.13_22:00
GTIC#26（本会#19）,475897165813852,2013.05.30_19:00,2013.05.30_22:00
GTIC#27（本会#20）,543731472337383,2013.06.07_19:00,2013.06.07_22:00
GTIC#28（WS#8）,179115078918386,2013.06.18_19:00,2013.06.18_22:00
GTIC#29（本会#21）,252540291537943,2013.06.24_19:00,2013.06.24_22:00
GTIC#30（WS#9）,649157038445861,2013.07.09_19:00,2013.07.09_22:00
GTIC#31（本会#22）,372233982878026,2013.07.22_19:00,2013.07.22_22:00
GTIC#32（WS#10）,367740186685087,2013.08.06_19:00,2013.08.06_22:00
GTIC#33（本会#23）,146843822182504,2013.08.20_19:00,2013.08.20_22:00
GTIC#34（本会#24）,287477228059406,2013.09.03_19:00,2013.09.03_22:00
GTIC#35（本会#25）,1408073376078131,2013.09.19_19:00,2013.09.19_22:00
GTIC#36（WS#11）,1409943062562509,2013.10.03_19:00,2013.10.03_22:00
GTIC#37（WS#12）,240732139415640,2013.10.08_19:00,2013.10.08_22:00
GTIC#38（本会#26）,339079112903926,2013.10.22_19:00,2013.10.22_22:00
GTIC#39（WS#13）,450288695089978,2013.11.07_19:00,2013.11.07_22:00
GTIC#40（本会#27）,437962896309581,2013.11.21_19:00,2013.11.21_22:00
GTIC#41（本会#28）,517485225007561,2013.12.03_19:00,2013.12.03_22:00
GTIC#42（本会#29）,759995657349279,2014.01.09_19:00,2014.01.09_22:00
GTIC#43（本会#30）,1402236703349345,2014.01.30_19:00,2014.01.30_22:00
GTIC#44（本会#31）,265838946905455,2014.02.13_19:00,2014.02.13_22:00
GTIC#45（WS#14）,1386361478253000,2014.02.27_19:00,2014.02.27_22:00
